source,target,weight,evidence,sign,input_form,log2FC,padj
MEF2A,ARHGAP10,1,DoRothEA_confC,Activator,Hill_activator,0.570199567621282,0.999941599553479
MAFB,ARHGAP24,1,DoRothEA_confC,Activator,Hill_activator,-0.321210316280312,0.999941599553479
MEF2A,ARHGAP24,1,DoRothEA_confC,Activator,Hill_activator,-0.321210316280312,0.999941599553479
MEF2A,ARHGAP42,1,DoRothEA_confC,Activator,Hill_activator,0.192943994729461,0.999941599553479
PROX1,ARHGAP42,1,DoRothEA_confC,Activator,Hill_activator,0.192943994729461,0.999941599553479
NR2F1,ARHGEF1,1,DoRothEA_confC,Activator,Hill_activator,-0.395227244175373,0.999941599553479
MEF2A,ARHGEF12,1,DoRothEA_confC,Activator,Hill_activator,-0.013268152032208,0.999941599553479
NR2F1,ARHGEF2,1,DoRothEA_confC,Activator,Hill_activator,-0.0342977792003042,0.999941599553479
PROX1,ARHGEF2,1,DoRothEA_confC,Activator,Hill_activator,-0.0342977792003042,0.999941599553479
MEF2A,ARHGEF3,1,DoRothEA_confC,Activator,Hill_activator,0.147658133960702,0.999941599553479
KLF6,ARID5B,1,DoRothEA_confC,Activator,Hill_activator,-0.0627865870273056,0.999941599553479
KLF6,ASAP1,1,DoRothEA_confC,Activator,Hill_activator,0.058661119126513,0.999941599553479
MEF2A,ASAP1,1,DoRothEA_confC,Activator,Hill_activator,0.058661119126513,0.999941599553479
AR,ATF6,3,DoRothEA_confA,Activator,Hill_activator,-0.165816675352594,0.999941599553479
AR,ATM,3,DoRothEA_confA,Activator,Hill_activator,-0.0365383676266865,0.999941599553479
PROX1,ATP1A1,1,DoRothEA_confC,Activator,Hill_activator,0.0721809503717157,0.999941599553479
AR,BANF1,3,DoRothEA_confA,Activator,Hill_activator,-0.15201408404567,0.999941599553479
MEF2A,BCAS3,1,DoRothEA_confC,Activator,Hill_activator,0.278491572561168,0.999941599553479
CREB1,BCL2,3,DoRothEA_confA,Activator,Hill_activator,0.0463176841941815,0.999941599553479
PGR,BCL2,3,DoRothEA_confA,Activator,Hill_activator,0.0463176841941815,0.999941599553479
NR2F1,BEGAIN,1,DoRothEA_confC,Activator,Hill_activator,0.16805710548487,0.999941599553479
EPAS1,BHLHE40,3,DoRothEA_confA,Activator,Hill_activator,0.18011222546624,0.999941599553479
AR,BTD,3,DoRothEA_confA,Activator,Hill_activator,0.314148180583046,0.999941599553479
KLF5,C77080,1,DoRothEA_confC,Activator,Hill_activator,-0.452518299938633,0.999941599553479
MEF2A,CAB39,1,DoRothEA_confC,Activator,Hill_activator,0.16017009734727,0.999941599553479
